"특별법범",배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,소계,79,79,,,,,,,,
"특별법범",범죄수익은닉의규제및처벌등에관한법률,소계,279,35,1,1,7,26,24,25,37,123
"특별법범",변호사법,소계,359,14,,,,6,43,35,48,213
"특별법범",병역법,소계,1487,12,5,9,84,272,400,240,205,260
"특별법범",보조금관리에관한법률,소계,1034,221,1,3,4,30,83,66,99,527
"특별법범",부동산실권리자명의등기에관한법률,소계,409,8,,2,9,46,58,25,17,244
"특별법범",부정경쟁방지및영업비밀보호에관한법률,소계,592,15,2,,8,28,125,88,117,209
"특별법범",부정수표단속법,소계,575,15,3,1,53,156,180,60,27,80
"특별법범",사행행위등규제및처벌특례법,소계,252,66,5,7,41,55,37,20,11,10
"특별법범",산림자원의조성및관리에관한법률,소계,801,151,8,5,53,111,173,107,82,111
"특별법범",산업안전보건법,소계,4832,1142,106,90,648,991,1300,341,135,79
"특별법범",산지관리법,소계,2563,147,16,7,105,277,485,369,309,848
"특별법범",상표법,소계,2881,412,51,48,320,528,654,366,252,250
"특별법범",석유및석유대체연료사업법,소계,989,18,4,3,37,105,151,140,143,388
"특별법범",선박안전법,소계,1844,48,2,4,25,81,906,725,47,6
"특별법범",선박직원법,소계,4319,363,2,3,118,127,514,754,1183,1255
"특별법범",성매매알선등행위의처벌에관한법률,소계,3252,1123,56,55,291,539,598,279,147,164
"특별법범",수도법,소계,164,6,1,1,36,60,31,17,6,6
"특별법범",수산업법,소계,5747,576,6,9,71,220,532,535,661,3137
"특별법범",수산자원관리법,소계,2297,685,1,13,46,111,150,191,83,1017
"특별법범",식품위생법,소계,6632,569,121,131,1248,2092,1528,429,208,306
"특별법범",신용정보의이용및보호에관한법률,소계,46,,,,,3,8,7,6,22
"특별법범",아동·청소년의성보호에관한법률(성매수등),소계,272,33,,4,14,61,75,38,29,18
"특별법범",아동·청소년의성보호에관한법률(성착취물등),소계,2475,102,6,12,70,232,679,562,552,260
"특별법범",아동복지법,소계,6105,551,44,76,600,1636,1946,575,313,364
"특별법범",액화석유가스의안전관리및사업법,소계,104,1,1,2,14,23,28,21,11,3
"특별법범",약사법,소계,1163,106,16,18,114,270,295,140,90,114
"특별법범",여객자동차운수사업법,소계,821,20,5,4,45,139,241,113,208,46
"특별법범",여신전문금융업법,소계,1192,145,14,13,161,301,271,120,62,105
"특별법범",영유아보육법,소계,142,1,,1,9,14,26,29,30,32
"특별법범",예비군법,소계,1613,16,11,7,77,240,560,279,176,247
"특별법범",옥외광고물등의관리와옥외광고산업진흥에관한법률,소계,125,4,2,2,15,26,38,21,6,11
"특별법범",외국환거래법,소계,309,92,1,1,5,8,18,22,25,137
"특별법범",위험물안전관리법,소계,728,129,3,6,58,156,236,93,31,16
"특별법범",유사수신행위의규제에관한법률,소계,892,13,,2,14,31,123,131,178,400
"특별법범",의료기기법,소계,405,47,4,4,57,103,105,31,25,29
"특별법범",의료법,소계,2927,314,32,23,271,602,762,382,210,331
"특별법범",자동차관리법,소계,22425,1998,477,539,4313,6376,3775,973,783,3191
"특별법범",자동차손해배상보장법,소계,16612,2765,84,93,615,1002,1491,1085,972,8505
"특별법범",자본시장과금융투자업에관한법률,소계,293,10,,4,3,9,33,39,28,167
"특별법범",저작권법,소계,4236,71,10,6,117,569,1366,932,683,482
"특별법범",전자금융거래법,소계,6618,376,12,5,111,1394,2542,960,597,621
"특별법범",전파법,소계,409,20,2,3,38,134,127,39,20,26
"특별법범",정보통신망이용촉진및정보보호등에관한법률,소계,10438,124,164,86,260,1163,3411,2496,1646,1088
"특별법범",조세범처벌법,소계,2328,39,,,35,91,161,91,193,1718
"특별법범",주민등록법,소계,1512,227,23,15,167,305,306,120,101,248
"특별법범",주차장법,소계,101,,,,14,33,23,13,11,7
